Num Parent Tweets,Num Replies to Parents,Avg Replies per Parent,Num Parent Tweets with Replies,Avg Replies per Parent with Replies,Num Toxic Parent Tweets,Num Non-Toxic Parent Tweets,Num Toxic Replies,Num Non-Toxic Replies,Num Toxic Replies to Non-Toxic Parents,Num Non-Toxic Replies to Non-Toxic Parents,Num Toxic Replies to Toxic Parents,Num Non-Toxic Replies to Toxic Parents,followers_count,friends_count,listed_count,created_at,favourites_count,geo_enabled,verified,statuses_count,contributors_enabled,is_translator,is_translation_enabled,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,geo,place,truncated,hashtags,symbols,user_mentions,urls,contributors,is_quote_status,retweet_count min,retweet_count avg,retweet_count max,favorite_count min,favorite_count avg,favorite_count max,favorited,retweeted,possibly_sensitive,Num Repliers With Min 1 Toxic Reply,Num parents with high Toxicity,Num parents with high Severe_Toxicity,Num parents with high Identity_Attack,Num parents with high Insult,Num parents with high Profanity,Num parents with high Threat,Num parents with high other attr,Num replies with high Toxicity,Num replies with high Severe_Toxicity,Num replies with high Identity_Attack,Num replies with high Insult,Num replies with high Profanity,Num replies with high Threat,Num replies with high other attr,Total tweets with high Toxicity,Total tweets with high Severe_Toxicity,Total tweets with high Identity_Attack,Total tweets with high Insult,Total tweets with high Profanity,Total tweets with high Threat,Total tweets with high other attr,Num Repliers,Num parents with <3 replies,Num parents with >=3 replies,User Desc,Top Desc Word #1: women,Top Desc Word #2: love,Top Desc Word #3: news,Top Desc Word #4: account,Top Desc Word #5: feminist,Top Desc Word #6: official,Top Desc Word #7: follow,Top Desc Word #8: products,Top Desc Word #9: tweets,Top Desc Word #10: womens
1984,863,0.434979839,177,4.875706215,84,1900,64,799,64,798,0,1,1321,1183,12,Thu Oct 17 09:31:01 +0000 2019,1684,Yes,No,130424,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,0,2.627016129,4247,0,10.35181452,19220,No,No,Yes,63,5,0,20,5,53,1,0,3,0,25,1,29,6,0,8,0,45,6,82,7,0,769,1978,6,User Desc,No,No,No,No,No,No,No,No,No,No
824,0,0,0,0,2,822,0,0,0,0,0,0,707,643,0,Fri Oct 18 18:41:58 +0000 2019,735,No,No,8518,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,0,2.794902913,61,0,2.558252427,297,No,No,No,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,824,0,User Desc,No,Yes,No,No,No,No,No,No,No,No
1195,2,0.00167364,1,2,0,1195,0,2,0,2,0,0,592,882,4,Sun Oct 20 01:31:01 +0000 2019,458,Yes,No,2444,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,0,7.788284519,135,0,1.710460251,24,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1195,0,User Desc,No,No,No,No,No,No,Yes,No,No,No
1220,5,0.004098361,5,1,0,1220,0,5,0,5,0,0,576,843,4,Sun Oct 20 01:31:01 +0000 2019,452,Yes,No,2447,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,0,7.586065574,143,0,1.583606557,24,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1220,0,User Desc,No,No,No,No,No,No,Yes,No,No,No
2335,58,0.0248394,44,1.318181818,0,2335,0,58,0,58,0,0,1727,964,20,Mon Oct 21 04:58:36 +0000 2019,11161,Yes,No,18209,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,0,3.427837259,187,0,3.533190578,934,No,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2332,3,User Desc,No,No,No,No,No,No,No,No,No,No
2121,51,0.024045262,41,1.243902439,4,2117,0,51,0,51,0,0,1890,1055,27,Mon Oct 21 04:58:36 +0000 2019,11791,Yes,No,19720,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,0,3.237623762,176,0,3.045733145,149,No,No,Yes,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,19,2118,3,User Desc,No,No,No,No,No,No,No,No,No,No
2103,2,0.000951022,2,1,0,2103,0,2,0,2,0,0,211,320,7,Mon Mar 01 14:09:57 +0000 2010,5193,No,No,18461,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,0,0.095577746,6,0,2.539705183,48,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2103,0,User Desc,No,No,No,No,No,No,No,No,No,No
1989,0,0,0,0,6,1983,0,0,0,0,0,0,0,666,1,Wed Oct 23 21:04:31 +0000 2019,13630,No,No,13583,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,0,0.094017094,10,0,0.211664153,36,No,No,No,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1989,0,User Desc,No,No,No,No,No,No,No,No,No,No
3151,88,0.027927642,47,1.872340426,0,3151,4,84,4,84,0,0,27951,8740,90,Mon Oct 28 14:07:54 +0000 2019,507,No,No,10389,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,0,11.06410663,326,9,107.7642018,4315,No,No,Yes,4,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,3,0,0,44,3141,10,User Desc,No,Yes,No,No,No,No,Yes,No,Yes,No
1086,9,0.008287293,9,1,66,1020,0,9,0,8,0,1,465,88,0,Tue Oct 29 10:49:10 +0000 2019,15409,No,No,21045,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,0,0.184162063,13,0,0.489871087,49,No,No,No,0,3,0,11,14,35,3,0,0,0,0,0,0,0,0,3,0,11,14,35,3,0,8,1086,0,User Desc,No,No,No,No,No,No,No,No,No,No
