Filename,followers_count,friends_count,verified,statuses_count,following,user_mentions,Num replies with high Toxicity,Num replies with high Severe_Toxicity,Num replies with high Identity_Attack,Num replies with high Insult,Num replies with high Profanity,Num replies with high Threat,Num replies with high other attr,Top Desc Word #1: women,Top Desc Word #2: love,Top Desc Word #3: news,Top Desc Word #4: account,Top Desc Word #5: feminist,Top Desc Word #6: official,Top Desc Word #7: follow,Top Desc Word #8: products,Top Desc Word #9: tweets,Top Desc Word #10: womens
1092816873299750000,9,5,No,2227,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1093366934823810000,335,68,No,8613,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1093712214836440000,341,41,No,1854,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1093805478478450000,90,130,No,12795,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1095104382700600000,1597,2351,No,14458,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1095272228038540000,2491,625,No,131,No,Yes,0,0,0,0,0,0,0,Yes,Yes,No,No,No,No,No,No,No,No
1095445731350130000,414,224,No,1921,No,Yes,0,0,0,0,0,0,0,No,No,Yes,No,No,No,No,No,No,No
109579534,325497,1874,Yes,11772,No,Yes,1,0,0,5,8,1,0,No,No,No,No,No,No,No,No,No,No
109579534,328473,1869,Yes,11933,No,Yes,3,0,0,18,9,4,0,No,No,No,No,No,No,No,No,No,No
109579534,329941,1873,Yes,12079,No,Yes,11,0,0,21,17,2,0,No,No,No,No,No,No,No,No,No,No
1096324563305200000,47027,1164,No,27025,No,Yes,0,0,0,0,2,0,0,No,No,No,No,No,No,No,No,No,No
1097564026379420000,3249,1993,No,10537,No,Yes,0,0,0,0,0,1,0,No,No,No,No,No,No,No,No,No,No
1097564026379420000,3228,1993,No,10448,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1097674507102440000,1193,4769,No,40423,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1098308985365630000,10324,419,No,4911,No,Yes,0,0,0,0,0,0,0,No,No,No,Yes,No,Yes,No,No,No,Yes
1098308985365630000,10271,419,No,4877,No,Yes,0,0,0,0,0,0,0,No,No,No,Yes,No,Yes,No,No,No,Yes
1098308985365630000,10330,421,No,4920,No,Yes,0,0,0,0,0,0,0,No,No,No,Yes,No,Yes,No,No,No,Yes
1098383481371990000,1146,608,No,1535,No,Yes,0,0,0,0,0,0,0,No,No,No,No,Yes,No,No,No,No,No
1098804535592660000,16195,1,No,43330,No,No,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,Yes,No
1098804535592660000,16179,1,No,43500,No,No,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,Yes,No
1098804535592660000,16157,1,No,43794,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,Yes,No
1098804535592660000,16156,1,No,44323,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,Yes,No
1099404276114350000,2096,1,No,276404,No,No,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
