followers_count,friends_count,verified,statuses_count,women,love,news,account,feminist,official,follow,products,tweets,womens,Toxicity
47027.0,1164.0,0,27025.0,0,0,0,0,0,0,0,0,0,0,2.0
3249.0,1993.0,0,10537.0,0,0,0,0,0,0,0,0,0,0,1.0
3228.0,1993.0,0,10448.0,0,0,0,0,0,0,0,0,0,0,0.0
1193.0,4769.0,0,40423.0,0,0,0,0,0,0,0,0,0,0,0.0
10324.0,419.0,0,4911.0,0,0,0,1,0,1,0,0,0,1,0.0
10271.0,419.0,0,4877.0,0,0,0,1,0,1,0,0,0,1,0.0
10330.0,421.0,0,4920.0,0,0,0,1,0,1,0,0,0,1,0.0
1146.0,608.0,0,1535.0,0,0,0,0,1,0,0,0,0,0,0.0
16195.0,1.0,0,43330.0,0,0,0,0,0,0,0,0,1,0,0.0
16179.0,1.0,0,43500.0,0,0,0,0,0,0,0,0,1,0,0.0
16157.0,1.0,0,43794.0,0,0,0,0,0,0,0,0,1,0,0.0
16156.0,1.0,0,44323.0,0,0,0,0,0,0,0,0,1,0,0.0
2096.0,1.0,0,276404.0,0,0,0,0,0,0,0,0,0,0,0.0
3.0,6.0,0,4533.0,0,0,0,0,0,0,0,0,0,0,0.0
48.0,0.0,0,26160.0,0,0,1,0,0,0,1,0,0,0,0.0
372.0,182.0,0,29051.0,1,0,0,0,0,0,0,0,0,0,0.0
577.0,952.0,0,6650.0,0,0,0,0,0,0,0,0,0,0,0.0
330.0,430.0,0,753.0,0,0,0,0,0,0,0,0,0,1,0.0
453539.0,1962.0,1,28939.0,0,0,0,0,0,0,0,0,0,0,81.0
2329.0,1920.0,0,94786.0,0,0,0,0,0,0,0,0,0,0,0.0
1177290.0,356.0,1,89405.0,0,0,1,1,0,0,0,0,0,0,47.0
1177901.0,355.0,1,89807.0,0,0,1,1,0,0,0,0,0,0,81.0
214.0,791.0,0,4631.0,0,0,0,0,0,0,0,0,0,0,0.0
217.0,804.0,0,4676.0,0,0,0,0,0,0,0,0,0,0,0.0
3701.0,2755.0,0,14245.0,0,0,0,1,0,0,0,0,0,0,0.0
7479.0,5959.0,0,298658.0,0,0,0,0,0,0,0,0,0,0,0.0
6.0,15.0,0,12258.0,0,0,0,0,0,0,0,0,0,0,0.0
1300.0,1879.0,0,60514.0,0,0,0,0,0,0,0,0,0,0,0.0
1351.0,1941.0,0,62315.0,0,0,0,0,0,0,0,0,0,0,0.0
14975.0,371.0,1,5604.0,0,0,0,0,0,0,0,0,0,1,0.0
44.0,17.0,0,4523.0,0,0,0,0,0,0,0,0,0,0,0.0
7016885.0,808.0,1,17211.0,0,0,0,0,0,0,0,0,0,0,2.0
7015323.0,806.0,1,17218.0,0,0,0,0,0,0,0,0,0,0,0.0
7009790.0,806.0,1,17224.0,0,0,0,0,0,0,0,0,0,0,0.0
11290.0,6231.0,0,71083.0,0,0,0,1,0,0,1,0,0,0,0.0
93.0,333.0,0,1904.0,0,0,0,0,0,0,0,0,0,0,0.0
108.0,327.0,0,12741.0,0,0,1,0,0,0,0,0,0,0,0.0
32671.0,986.0,1,1462.0,0,0,0,0,0,0,0,0,0,0,5.0
659.0,856.0,0,93980.0,0,0,0,0,0,0,0,0,0,0,0.0
661.0,857.0,0,94340.0,0,0,0,0,0,0,0,0,0,0,4.0
12.0,106.0,0,15415.0,0,0,0,0,0,0,0,0,0,0,0.0
1897.0,3660.0,0,8314.0,0,0,0,0,0,0,1,0,0,0,0.0
5.0,47.0,0,349.0,0,0,0,0,0,0,0,0,1,0,0.0
6.0,3.0,0,82567.0,0,0,0,0,0,0,0,0,0,0,0.0
79.0,134.0,0,13863.0,1,0,0,0,0,0,0,0,0,0,0.0
2210.0,1016.0,0,48302.0,0,0,0,0,0,0,0,0,0,0,0.0
5.0,13.0,0,6960.0,0,1,0,0,0,0,0,0,0,0,0.0
5.0,13.0,0,6966.0,0,1,0,0,0,0,0,0,0,0,0.0
13688.0,13603.0,0,56458.0,0,0,0,0,0,0,0,0,0,0,49.0
186.0,6.0,0,20356.0,0,0,0,0,0,0,0,0,0,0,0.0
255.0,306.0,0,8523.0,0,0,0,0,0,0,0,0,0,0,0.0
227.0,171.0,0,1565.0,0,0,0,0,0,0,0,0,0,0,0.0
1876.0,3109.0,0,19266.0,0,1,0,0,0,0,0,0,0,0,0.0
8.0,0.0,0,7609.0,0,0,0,0,0,0,0,0,0,0,0.0
6514.0,3144.0,0,31243.0,0,0,0,0,0,0,0,0,0,0,0.0
6516.0,3205.0,0,31486.0,0,0,0,0,0,0,0,0,0,0,2.0
1070.0,3268.0,0,25828.0,0,0,0,0,0,0,0,0,0,0,0.0
93.0,58.0,0,208.0,0,0,0,0,0,0,0,0,0,0,0.0
1.0,0.0,0,10078.0,0,0,0,0,0,0,0,0,0,0,0.0
827.0,99.0,0,832.0,1,0,0,0,0,0,0,0,0,0,0.0
13622.0,2253.0,0,6522.0,0,0,0,0,0,0,0,0,0,0,3.0
241.0,867.0,0,26128.0,0,0,0,0,0,0,0,0,0,0,0.0
613.0,0.0,0,68685.0,0,0,0,0,0,0,1,0,0,0,0.0
34857.0,727.0,0,39357.0,0,0,0,0,0,0,0,0,0,0,0.0
5075.0,498.0,0,43424.0,1,0,0,0,0,0,0,0,0,0,2.0
5497.0,457.0,0,110824.0,0,0,0,0,0,0,0,0,0,0,39.0
985.0,387.0,0,35891.0,0,0,0,0,0,0,0,0,0,0,0.0
344.0,3644.0,0,79911.0,0,0,0,0,0,0,0,0,0,0,0.0
9204.0,258.0,0,849.0,0,0,0,0,0,0,0,0,0,0,0.0
478.0,341.0,0,1580.0,1,0,0,0,0,0,0,0,0,0,0.0
6152.0,1325.0,0,4122.0,0,0,0,0,0,0,0,0,0,0,0.0
6167.0,1375.0,0,4139.0,0,0,0,0,0,0,0,0,0,0,0.0
4090.0,2872.0,0,253161.0,0,0,0,0,0,0,0,0,0,0,0.0
23.0,0.0,0,16709.0,0,0,0,0,0,0,0,0,0,1,0.0
23.0,0.0,0,16709.0,0,0,0,0,0,0,0,0,0,1,0.0
13226.0,7051.0,0,112435.0,0,0,0,0,0,0,0,0,0,0,4.0
229.0,242.0,0,55771.0,0,0,0,0,0,0,0,0,0,0,0.0
231.0,242.0,0,56413.0,0,0,0,0,0,0,0,0,0,0,0.0
1337.0,1140.0,0,11998.0,0,0,0,0,0,0,0,0,0,0,0.0
1355.0,1151.0,0,12073.0,0,0,0,0,0,0,0,0,0,0,0.0
26053.0,560.0,0,22272.0,0,0,0,0,0,0,0,0,0,0,0.0
14528.0,13656.0,0,49872.0,0,0,0,0,0,0,0,0,0,0,0.0
1244.0,955.0,0,50475.0,0,0,0,0,0,0,0,0,0,0,5.0
2.0,0.0,0,7892.0,0,0,0,0,0,0,0,0,0,0,0.0
23238.0,6395.0,0,21561.0,1,0,0,0,0,0,0,0,0,0,0.0
6.0,11.0,0,16509.0,0,0,0,0,0,0,0,0,0,0,0.0
298.0,213.0,0,779.0,0,0,0,0,0,0,0,0,0,0,0.0
652.0,530.0,0,13527.0,0,0,0,0,0,0,0,0,0,0,0.0
649.0,628.0,0,47784.0,0,0,0,0,0,0,0,0,0,0,1.0
10969.0,6391.0,0,49108.0,0,0,0,0,0,0,0,0,0,0,0.0
1554.0,1674.0,0,16795.0,0,0,0,0,0,0,0,0,0,0,2.0
1552.0,1668.0,0,16565.0,0,0,0,0,0,0,0,0,0,0,1.0
446.0,121.0,0,449.0,0,0,0,0,0,0,0,0,0,0,0.0
446.0,121.0,0,449.0,0,0,0,0,0,0,0,0,0,0,0.0
1066.0,900.0,0,8922.0,0,0,0,0,0,0,0,0,0,0,0.0
1931.0,1130.0,0,25449.0,0,0,0,0,0,0,0,0,0,0,0.0
8708.0,7433.0,0,34511.0,0,0,0,0,0,0,0,0,0,0,0.0
8574.0,7340.0,0,34626.0,0,0,0,0,0,0,0,0,0,0,1.0
1051.0,1919.0,0,13733.0,0,0,0,0,0,0,0,0,0,0,0.0
12.0,1.0,0,562.0,0,0,0,0,0,0,0,0,0,0,0.0
346.0,307.0,0,195.0,0,0,0,0,0,0,0,0,0,0,0.0
59070.0,305.0,1,21630.0,0,0,0,0,0,1,0,0,0,0,0.0
1592.0,493.0,0,36538.0,0,0,0,0,0,0,0,0,0,0,8.0
41471.0,12846.0,0,95489.0,0,0,0,0,0,0,0,0,0,0,76.0
668.0,4272.0,0,17685.0,0,0,0,0,0,0,0,0,0,0,0.0
49.0,226.0,0,4441.0,0,0,0,0,0,0,0,0,0,0,0.0
2000.0,1002.0,0,179187.0,0,0,0,0,0,0,0,0,0,0,0.0
1303.0,275.0,0,48284.0,0,0,0,0,0,0,0,0,0,0,0.0
1823.0,8.0,0,1043.0,0,0,0,0,0,0,0,0,0,0,0.0
2870.0,2181.0,0,8920.0,0,0,0,0,0,0,0,0,0,0,0.0
1331.0,250.0,0,22369.0,0,0,0,0,0,0,0,0,0,0,1.0
